#options: 960x542 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=6258 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=6258 vbv_bufsize=12516 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.41 aq:16.44 tex:1238530 mv:80728 misc:182 imb:2040 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:19.78 aq:11.23 tex:469947 mv:1421 misc:440 imb:54 pmb:1927 smb:59 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:25.01 aq:7.97 tex:910 mv:135 misc:307 imb:0 pmb:63 smb:1977 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:25.12 aq:17.16 tex:162 mv:107 misc:307 imb:0 pmb:32 smb:2008 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:25.01 aq:17.00 tex:9 mv:3 misc:180 imb:0 pmb:1 smb:2039 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:18.02 aq:9.50 tex:322501 mv:860 misc:791 imb:40 pmb:1833 smb:167 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:15.65 aq:7.10 tex:517798 mv:770 misc:472 imb:30 pmb:1907 smb:103 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:15.88 aq:7.25 tex:474213 mv:1180 misc:383 imb:65 pmb:1933 smb:42 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:15.97 aq:11.15 tex:4279 mv:632 misc:1361 imb:0 pmb:393 smb:1647 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:15.98 aq:14.62 tex:2519 mv:809 misc:1248 imb:0 pmb:347 smb:1693 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:15.96 aq:17.41 tex:299 mv:134 misc:719 imb:0 pmb:103 smb:1937 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:16.20 aq:7.98 tex:211056 mv:630 misc:1298 imb:18 pmb:1695 smb:327 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:16.19 aq:16.62 tex:2637 mv:178 misc:449 imb:0 pmb:81 smb:1959 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:16.19 aq:14.90 tex:855 mv:82 misc:279 imb:0 pmb:18 smb:2022 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:16.20 aq:14.25 tex:1896 mv:103 misc:361 imb:0 pmb:37 smb:2003 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:13.89 aq:5.79 tex:547482 mv:714 misc:644 imb:28 pmb:1843 smb:169 d:s ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:16.56 aq:14.63 tex:1465 mv:163 misc:588 imb:0 pmb:75 smb:1965 d:s ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:16.51 aq:15.21 tex:318 mv:58 misc:296 imb:0 pmb:18 smb:2022 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:16.61 aq:13.16 tex:146 mv:57 misc:277 imb:0 pmb:16 smb:2024 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:14.59 aq:6.65 tex:315277 mv:662 misc:893 imb:23 pmb:1793 smb:224 d:s ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:14.58 aq:11.67 tex:3774 mv:213 misc:845 imb:3 pmb:130 smb:1907 d:s ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:14.57 aq:16.70 tex:2133 mv:72 misc:291 imb:0 pmb:25 smb:2015 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:14.59 aq:18.18 tex:2108 mv:93 misc:319 imb:0 pmb:29 smb:2011 d:- ref:0 ;
in:24 out:23 type:P dur:2 cpbdur:2 q:13.54 aq:5.69 tex:273013 mv:636 misc:1231 imb:20 pmb:1697 smb:323 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:14.56 aq:17.90 tex:1696 mv:56 misc:232 imb:0 pmb:12 smb:2028 d:s ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:13.10 aq:5.24 tex:355305 mv:594 misc:853 imb:19 pmb:1825 smb:196 d:s ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:12.75 aq:4.87 tex:285268 mv:530 misc:1114 imb:14 pmb:1759 smb:267 d:s ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:13.38 aq:5.69 tex:303532 mv:767 misc:957 imb:28 pmb:1791 smb:221 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:13.36 aq:9.76 tex:5017 mv:390 misc:993 imb:0 pmb:173 smb:1867 d:s ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:13.35 aq:16.02 tex:274 mv:78 misc:304 imb:0 pmb:26 smb:2014 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:13.37 aq:12.65 tex:1910 mv:137 misc:481 imb:0 pmb:57 smb:1983 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:12.49 aq:4.85 tex:356759 mv:916 misc:701 imb:53 pmb:1861 smb:126 d:s ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:13.53 aq:5.45 tex:5182 mv:385 misc:1081 imb:0 pmb:215 smb:1825 d:s ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:13.54 aq:12.11 tex:1515 mv:86 misc:319 imb:0 pmb:23 smb:2017 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:13.51 aq:4.75 tex:3273 mv:122 misc:453 imb:0 pmb:84 smb:1956 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:11.00 aq:4.17 tex:292122 mv:563 misc:1235 imb:19 pmb:1695 smb:326 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:12.68 aq:6.59 tex:2831 mv:234 misc:863 imb:0 pmb:133 smb:1907 d:t ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:12.88 aq:7.26 tex:2608 mv:99 misc:365 imb:1 pmb:29 smb:2010 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:12.86 aq:7.74 tex:1463 mv:100 misc:389 imb:0 pmb:40 smb:2000 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:13.57 aq:6.82 tex:1092612 mv:4588 misc:568 imb:49 pmb:1844 smb:147 d:s ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:13.68 aq:8.82 tex:10097 mv:237 misc:610 imb:0 pmb:181 smb:1859 d:s ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:13.69 aq:10.80 tex:709 mv:70 misc:309 imb:0 pmb:26 smb:2014 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:13.67 aq:8.72 tex:12980 mv:566 misc:798 imb:0 pmb:238 smb:1802 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:14.02 aq:7.15 tex:1091645 mv:4231 misc:556 imb:50 pmb:1854 smb:136 d:s ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:14.01 aq:13.07 tex:478433 mv:7086 misc:1017 imb:9 pmb:1746 smb:285 d:s ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:14.14 aq:15.68 tex:299816 mv:6413 misc:1171 imb:7 pmb:1679 smb:354 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:14.02 aq:16.26 tex:11655 mv:732 misc:1293 imb:0 pmb:345 smb:1695 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:14.29 aq:6.71 tex:1221994 mv:7844 misc:570 imb:139 pmb:1739 smb:162 d:s ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:14.31 aq:15.04 tex:555779 mv:11791 misc:718 imb:17 pmb:1808 smb:215 d:s ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:16.91 aq:18.85 tex:248633 mv:6230 misc:1585 imb:21 pmb:1431 smb:588 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:14.31 aq:16.09 tex:301719 mv:5970 misc:1431 imb:2 pmb:1553 smb:485 d:- ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:14.70 aq:6.71 tex:1156124 mv:4515 misc:665 imb:32 pmb:1811 smb:197 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:14.64 aq:11.48 tex:6020 mv:325 misc:839 imb:0 pmb:219 smb:1821 d:s ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:16.87 aq:8.53 tex:860407 mv:3232 misc:657 imb:34 pmb:1794 smb:212 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:16.82 aq:16.50 tex:121033 mv:2735 misc:1712 imb:0 pmb:1400 smb:640 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:16.79 aq:18.83 tex:158987 mv:4300 misc:1777 imb:2 pmb:1341 smb:697 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:16.85 aq:18.64 tex:16121 mv:949 misc:1506 imb:0 pmb:531 smb:1509 d:- ref:0 ;
